,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,,,,,,,,,,,,,,,,
1,"{'title': '5 Bed House with En Suite at Karen', 'location': 'karen, Karen', 'description': 'Exquisite 5 bedroom house to rent', 'price': 'KSh 420,000\n\n/ month'}","{'title': '4 Bed House with En Suite in Runda', 'location': 'Runda, Westlands', 'description': 'A WELL PRESENTED 4 BEDROOMED HOUSE', 'price': 'KSh 350,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Kiambu Rd', 'location': 'Kiambu Rd, Kiambu Road', 'description': 'Executive 4 Bedroom House All Bedroom En-suite...', 'price': 'KSh 105,000\n\n/ month'}","{'title': '5 Bed Townhouse with En Suite at Lower Kabete Road', 'location': 'Lower Kabete Road, Lower Kabete, Westlands', 'description': 'Executive 5 bedroom modern townhouse all ensuit...', 'price': 'KSh 560,000\n\n/ month'}","{'title': '1 Bed House with En Suite at Nyari', 'location': 'Nyari, Westlands', 'description': '1 BEDROOM HOUSE FOR RENT IN NYARI NAIROBI KENYA', 'price': 'KSh 120,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Runda', 'location': '01, Runda, Westlands', 'description': 'Executive 4 Bedroom Duplex All Bedroom en-suite...', 'price': 'KSh 300,000\n\n/ month'}","{'title': '4 Bed Townhouse with En Suite at Peponi Road', 'location': 'Peponi Road, Westlands Area, Westlands', 'description': '4 Bedrooms all ensuite with DSQ for rent along...', 'price': 'KSh 250,000\n\n/ month'}","{'title': '5 Bed Townhouse with En Suite in Kileleshwa', 'location': 'Kileleshwa', 'description': 'Elegant 5 bedroom all ensuite townhouse', 'price': 'KSh 250,000\n\n/ month'}","{'title': '5 Bed House with En Suite in Muthaiga', 'location': 'Muthaiga', 'description': 'RUSTIC 5 BEDROOM STAND-ALONE HOUSE WITH SWIMMIN...', 'price': 'KSh 700,000\n\n/ month'}","{'title': '5 Bed Townhouse in Lavington', 'location': 'Lavington', 'description': '5 bedroom for rent in lavingtone', 'price': 'KSh 310,000\n\n/ month'}","{'title': '4 Bed House with En Suite in Lavington', 'location': 'Lavington', 'description': 'HOMELY 4 BEDROOM TOWNHOUSE TO LET IN LAVINGTON...', 'price': 'KSh 250,000\n\n/ month'}","{'title': 'House in Kiambu Road', 'location': 'Kiambu Road', 'description': 'Serene 4-bedroom townhouse for rent in Kiambu R...', 'price': 'KSh 200,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Kiambu Road', 'location': 'Kiambu Road, Runda, Westlands', 'description': '4 Bedroom Houses for rent in Runda Kiambu Road...', 'price': 'KSh 440,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Off Kiambu Road', 'location': 'Off Kiambu road, Kiambu Road', 'description': '4 BEDROOM HOUSE FOR RENT IN KIAMBU ROAD, KIAMBU...', 'price': 'KSh 250,000\n\n/ month'}","{'title': '5 Bed House with En Suite at Miotoni', 'location': 'miotoni, Karen', 'description': '5 BEDROOM HOUSE FOR RENT IN KAREN,NAIROBI', 'price': 'KSh 350,000\n\n/ month'}","{'title': '4 Bed House with En Suite in Kitisuru', 'location': 'Kitisuru, Westlands', 'description': 'EXQUISITE FAMILY LIVING! KITISURU 4 BEDROOM TOW...', 'price': 'KSh 300,000\n\n/ month'}","{'title': '4 Bed House with En Suite in Kyuna', 'location': 'Kyuna, Westlands', 'description': 'Suitable for Commercial and Residential Purpose...', 'price': 'KSh 350,000\n\n/ month'}"
2,"{'title': '4 Bed House with En Suite at Runda', 'location': 'Runda, Westlands', 'description': '4 Bedroom House To Let in Runda', 'price': 'KSh 400,000\n\n/ month'}","{'title': '5 Bed House with En Suite at Miotoni Road', 'location': 'O, miotoni road, Karen', 'description': '5 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA', 'price': 'KSh 300,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Miotoni Road', 'location': 'Miotoni Road, Karen', 'description': 'Beautiful Four bedroom House', 'price': 'KSh 350,000\n\n/ month'}","{'title': '4 Bed Townhouse with En Suite at Grevilea Grove', 'location': '6, Grevilea grove, Brookside, Westlands', 'description': 'WESTLANDS MODERN 4 BEDROOM TOWNHOUSE FOR RENT', 'price': 'KSh 180,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Lower Kabete', 'location': 'Lower kabete, Lower Kabete, Westlands', 'description': '4 Bedroom House for Rent in Lower Kabete Nairob...', 'price': 'KSh 580,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Muteero Estate', 'location': 'Muteero estate, Karen', 'description': '4 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA', 'price': 'KSh 320,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Runda', 'location': '01, Runda, Westlands', 'description': 'Executive 4 Bedroom House all en-suite + dsq fo...', 'price': 'KSh 250,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Kiambu Road', 'location': 'Kiambu Road', 'description': 'Executive 4 Bedroom House all en-suite + dsq fo...', 'price': 'KSh 250,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Runda', 'location': '01, Runda, Westlands', 'description': 'Executive 4 Bedroom House all en-suite + dsq fo...', 'price': 'KSh 250,000\n\n/ month'}","{'title': '5 Bed House with En Suite at Marula Road', 'location': 'Marula road, Karen', 'description': '5 BEDROOM HOUSE FOR RENT IN KAREN,NAIROBI KENYA', 'price': 'KSh 350,000\n\n/ month'}","{'title': '4 Bed Townhouse with En Suite at Two Rivers', 'location': 'Two Rivers, Runda, Westlands', 'description': 'Impressive 4 Bdr All En-suit Duplex Homes For...', 'price': 'KSh 350,000\n\n/ month'}","{'title': '5 Bed Townhouse with En Suite at Lavington', 'location': 'Lavington', 'description': '5 bedroom plus SQ', 'price': 'KSh 350,000\n\n/ month'}","{'title': '4 Bed Townhouse with En Suite in Kiambu Road', 'location': 'Kiambu Road', 'description': 'Newly Built! Welcome to this Kiambu Road Four B...', 'price': 'KSh 280,000\n\n/ month'}","{'title': '5 Bed House with En Suite at Karen', 'location': 'Karen', 'description': '5 Bedroom House to Let in Karen Nairobi Kenya', 'price': 'KSh 400,000\n\n/ month'}","{'title': '4 Bed House in Kizingo', 'location': 'Kizingo, Mombasa Island', 'description': '4 bedrooms executive mansion for rent', 'price': 'KSh 160,000\n\n/ month'}",,
3,"{'title': '3 Bed House with En Suite in Karen', 'location': 'Karen', 'description': 'Tulip Residence', 'price': 'KSh 350,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Lakeview', 'location': 'Lakeview, Lake View, Westlands', 'description': 'Beautiful Four bedroom House', 'price': 'KSh 600,000\n\n/ month'}","{'title': '8 Bed House with En Suite at Nyari Blueberry', 'location': 'Nyari blueberry, Nyari, Westlands', 'description': 'Executive Brand New 8 bed ensuite with swimming...', 'price': 'KSh 400,000\n\n/ month'}","{'title': '4 Bed Villa with En Suite in Runda', 'location': 'Runda, Westlands', 'description': ""New 4 bedroom gated community of 4 house's in r..."", 'price': 'KSh 250,000\n\n/ month'}","{'title': '5 Bed House with En Suite in Runda', 'location': 'Runda, Westlands', 'description': 'Spacious Five Bedroom House for Rent in Runda', 'price': 'KSh 450,000\n\n/ month'}","{'title': '1 Bed House with En Suite in Muthaiga', 'location': 'Muthaiga', 'description': 'Charming Guest House For Rent in Muthaiga North...', 'price': 'KSh 100,000\n\n/ month'}","{'title': '2 Bed House at Karen Plain', 'location': 'Karen plain, Karen', 'description': '2 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA', 'price': 'KSh 75,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Karen', 'location': 'O, Karen', 'description': '4 BEDROOM HOUSE FOR RENT IN KAREN', 'price': 'KSh 350,000\n\n/ month'}","{'title': '5 Bed Townhouse with En Suite at Lavington', 'location': 'Lavington', 'description': '5 bedroom plus DSQ for Rent', 'price': 'KSh 370,000\n\n/ month'}","{'title': '5 Bed Townhouse with En Suite at Lavington', 'location': 'lavington, Lavington', 'description': '5 bedrooms plus dsq townhouse to let in Laving...', 'price': 'KSh 350,000\n\n/ month'}","{'title': '4 Bed Townhouse with En Suite at Ridgeways', 'location': 'Ridgeways, RIDGEWAYS', 'description': 'Luxurious and comfortable home in a serene and...', 'price': 'KSh 350,000\n\n/ month'}","{'title': '5 Bed Townhouse with En Suite at Runda', 'location': 'Runda, Westlands', 'description': '5 BEDROOM STAND ALONE HOUSE TO LET IN RUNDA AT...', 'price': 'KSh 576,000\n\n/ month'}","{'title': '2 Bed House with En Suite in Riverside', 'location': 'Riverside, Westlands', 'description': 'Luxurious Two-Bedroom Furnished Cottage in Rive...', 'price': 'KSh 170,000\n\n/ month'}","{'title': '4 Bed House with En Suite in Karen', 'location': 'Karen', 'description': 'Lovely 4 BR House plus 2Dsq in Karen', 'price': 'KSh 250,000\n\n/ month'}","{'title': '5 Bed Townhouse with En Suite in Karen Hardy', 'location': 'Karen Hardy', 'description': '5 bedroom townhouse for rent in Karen', 'price': 'KSh 600,000\n\n/ month'}",,
4,"{'title': 'House in Karen Hardy', 'location': 'Karen Hardy', 'description': '4 Bedroom Ambassadorial Home for rent', 'price': 'KSh 400,000\n\n/ month'}","{'title': '2 Bed House with En Suite at Mukoma Road', 'location': 'mukoma road, Karen', 'description': '2 BEDROOM FURNISHED COTTAGE FOR RENT IN KAREN N...', 'price': 'KSh 160,000\n\n/ month'}","{'title': '4 Bed Townhouse with En Suite at Coffee Garden Road', 'location': 'Coffee garden road, Muthaiga', 'description': '4 Bedroom Townhouse To Rent - Muthaiga North.', 'price': 'KSh 120,000\n\n/ month'}","{'title': '5 Bed House with En Suite in Runda', 'location': 'Runda, Westlands', 'description': 'RESIDENTIAL 5 BEDROOM STAND-ALONE HOUSE WITH DS...', 'price': 'KSh 450,000\n\n/ month'}","{'title': 'House in Kyuna', 'location': 'Kyuna, Westlands', 'description': 'Charming Four-Bedroom House for Rent in Kyuna', 'price': 'KSh 270,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Kiambu Road', 'location': 'Kiambu road, Kiambu Road', 'description': 'Spacious 4 Bedroom House All Bedroom En-suite +...', 'price': 'KSh 350,000\n\n/ month'}","{'title': '4 Bed Townhouse with En Suite in Spring Valley', 'location': 'Spring Valley, Westlands', 'description': '4 bedroom townhouse to rent in spring valley', 'price': 'KSh 570,000\n\n/ month'}","{'title': '5 Bed House with En Suite in Runda', 'location': 'Runda, Westlands', 'description': '5 Bedroom All En Suite + Dsq House For rent in...', 'price': 'KSh 450,000\n\n/ month'}","{'title': '4 Bed House with Garden in Kyuna', 'location': 'Mugumo crescent Nairobi, Kyuna, Westlands', 'description': 'A 4bdrm family house to let in kyuna.', 'price': 'KSh 300,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Off Glory Road', 'location': '4, Off Glory road, Runda, Westlands', 'description': 'Cozy and modern 4 Bedrooms stand alone house to...', 'price': 'KSh 400,000\n\n/ month'}","{'title': '3 Bed House with En Suite at Runda', 'location': 'Runda, Westlands', 'description': '3 BEDROOM HOUSE FOR RENT IN RUNDA, NAIROBI KENY...', 'price': 'KSh 350,000\n\n/ month'}","{'title': '5 Bed Townhouse with En Suite at Rosslyn Lonetree', 'location': 'Rosslyn Lonetree, Rosslyn, Westlands', 'description': 'BEAUTIFUL 5 BEDROOMS HOUSE FOR RENT IN ROSSLYN', 'price': 'KSh 550,000\n\n/ month'}","{'title': '4 Bed House with En Suite in Kitisuru', 'location': 'Kitisuru, Westlands', 'description': 'Luxurious Four-Bedroom Cottage for Rent in Kiti...', 'price': 'KSh 450,000\n\n/ month'}","{'title': '5 Bed Townhouse with En Suite in Lavington', 'location': 'Lavington', 'description': '5 BEDROOM TOWNHOUSE +2DSQ TO LET IN LAVINGTON', 'price': 'KSh 350,000\n\n/ month'}","{'title': '5 Bed House with En Suite at Kyuna', 'location': 'Kyuna, Westlands', 'description': 'UNIQUE 5BEDROOM PLUS DSQ ON 0.75ACRE PLOT', 'price': 'KSh 300,000\n\n/ month'}",,
5,"{'title': '4 Bed House with En Suite at Karen', 'location': 'Karen', 'description': '4 BEDROOM HOUSE FOR RENT IN KAREN', 'price': 'KSh 250,000\n\n/ month'}","{'title': '5 Bed House with En Suite in Karen Hardy', 'location': 'Karen Hardy', 'description': '5 bedroom house all en suite to let in Karen', 'price': 'KSh 290,000\n\n/ month'}","{'title': '4 Bed Townhouse with En Suite at Spring Valley', 'location': 'Spring Valley, Kyuna, Westlands', 'description': 'KYUNA : 4 Bedroom Town House â€“ To let', 'price': 'Price not communicated'}","{'title': '3 Bed House with En Suite in Rosslyn', 'location': 'Rosslyn, Westlands', 'description': 'Luxury Three Bedroom Bungalow for Rent in Rossl...', 'price': 'KSh 400,000\n\n/ month'}","{'title': '1 Bed House with Garden at Dik Dik Lane', 'location': 'Dik Dik Lane, Karen', 'description': '1 bedroom bungalow for rent on Dik Dik Lane', 'price': 'KSh 120,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Rosslyn Lone Tree', 'location': 'Rosslyn Lone tree, Rosslyn, Westlands', 'description': 'Cosy Four bedrooms house in Rosslyn Lone tree i...', 'price': 'KSh 280,000\n\n/ month'}","{'title': '4 Bed Townhouse with En Suite in Kiambu Road', 'location': 'Kiambu Road', 'description': 'Homely 4 Bed Townhouse with En Suite to Let in...', 'price': 'KSh 130,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Rossyln', 'location': 'O, Rossyln, Rosslyn, Westlands', 'description': '4 BEDROOM HOUSE FOR RENT IN ROSSLYN', 'price': 'KSh 350,000\n\n/ month'}","{'title': '5 Bed Townhouse with En Suite in Lower Kabete', 'location': 'Lower Kabete, Westlands', 'description': 'LOWER KABETE, 5 BEDROOM PLUS 2DSQ HOMELY VILLA...', 'price': 'KSh 500,000\n\n/ month'}","{'title': '2 Bed House in Runda', 'location': 'Runda, Westlands', 'description': '2 Bedrooms House For Rent In Runda', 'price': 'KSh 70,000\n\n/ month'}","{'title': '5 Bed House with En Suite in Lavington', 'location': 'Lavington', 'description': '5 Bedroom Ensuite for rent', 'price': 'KSh 350,000\n\n/ month'}","{'title': '4 Bed Townhouse with En Suite in Rosslyn', 'location': 'Rosslyn, Westlands', 'description': 'Brand New 4 Bedroom With Dsq', 'price': 'KSh 300,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Lower Kabete Road', 'location': 'Lower Kabete road, Lower Kabete, Westlands', 'description': 'Beautiful Four bedroom House', 'price': 'KSh 640,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Kiambu Road', 'location': 'Kiambu Road', 'description': 'Executive 4 Bedroom House all Bedroom En-suite...', 'price': 'KSh 300,000\n\n/ month'}","{'title': '5 Bed Townhouse with En Suite at Westland', 'location': 'O, Westland, Brookside, Westlands', 'description': '5 BEDROOM HOUSE FOR RENT IN WESTLAND NAIROBI KE...', 'price': 'KSh 250,000\n\n/ month'}",,
6,"{'title': '5 Bed House with Swimming Pool at Karen', 'location': 'Karen', 'description': '5 BEDROOM HOUSE FOR RENT IN KAREN, NAIROBI', 'price': 'KSh 250,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Kiambu Road', 'location': '01, Kiambu Road', 'description': 'Executive Newly 4 Bedroom House all Bedroom en-...', 'price': 'KSh 300,000\n\n/ month'}","{'title': '4 Bed Townhouse with En Suite in Kyuna', 'location': 'Kyuna, Westlands', 'description': '4Bedroom Townhouse en-suite Master Bedroom with...', 'price': 'KSh 270,000\n\n/ month'}","{'title': '5 Bed House with En Suite in Karen', 'location': 'Karen', 'description': 'A Luxurious 5-Bedroom Residence to Let in Kare...', 'price': 'KSh 250,000\n\n/ month'}","{'title': '3 Bed House with En Suite in Kitisuru', 'location': 'Kitisuru, Westlands', 'description': 'ONE OF A KIND! NEWLY BUILT 3 BEDROOM TOWNHOUSE...', 'price': 'KSh 450,000\n\n/ month'}","{'title': '4 Bed House with Garden in Muthaiga', 'location': 'Muthaiga', 'description': 'Stand alone house', 'price': 'KSh 350,000\n\n/ month'}","{'title': '3 Bed House with En Suite at Mombasa Road', 'location': 'Mombasa Road, Athi River', 'description': 'Fully Furnished 3bdrm Maisonette in Greenpark,...', 'price': 'KSh 190,000\n\n/ month'}","{'title': '5 Bed Townhouse with En Suite at Kyuna', 'location': 'kyuna, Kyuna, Westlands', 'description': 'Ultimate Luxury! Kyuna 5-bedroom Villa in a Sec...', 'price': 'KSh 650,000\n\n/ month'}","{'title': '4 Bed Townhouse with En Suite in Runda', 'location': 'Runda, Westlands', 'description': '4 bedroom townhouse to rent in runda', 'price': 'KSh 200,000\n\n/ month'}","{'title': '4 Bed Townhouse with En Suite at Riara', 'location': 'Riara, Ngong Road', 'description': '4 BEDROOM SEMI-DE TOUCHED MAISONETTE WITH DSQ A...', 'price': 'KSh 130,000\n\n/ month'}","{'title': '3 Bed House with En Suite at Lavighton', 'location': 'Lavighton, Lavington', 'description': '3 BEDROOM HOUSE FOR RENT IN LAVINGTON NAIROBI K...', 'price': 'KSh 310,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Runda', 'location': '01, Runda, Westlands', 'description': 'Executive 4 Bedroom House All En-suite For Rent', 'price': 'KSh 490,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Kiambu Road', 'location': 'Kiambu road, Kiambu Road', 'description': 'Executive 4 Bedroom House all en-suite + dsq fo...', 'price': 'KSh 250,000\n\n/ month'}","{'title': '4 Bed Townhouse in Lavington', 'location': 'Lavington', 'description': '4 bedroom all En suite-200k inclusive of servic...', 'price': 'KSh 200,000\n\n/ month'}","{'title': '1 Bed House in Runda', 'location': 'Runda, Westlands', 'description': '1 Bedroom Fully Furnished House To Rent In Rund...', 'price': 'KSh 100,000\n\n/ month'}",,
7,"{'title': '5 Bed Villa with Swimming Pool in Kitisuru', 'location': 'Kitisuru, Westlands', 'description': 'Contemporary 5 bedroom villa to let in Kitisuru', 'price': 'KSh 5,500\n\n/ month'}","{'title': '5 Bed House with En Suite in Runda', 'location': 'Runda, Westlands', 'description': 'A beautiful standalone house', 'price': 'KSh 400,000\n\n/ month'}","{'title': '5 Bed House with En Suite in Runda', 'location': 'Runda, Westlands', 'description': 'HOMELY 5 BEDROOM STAND ALONE HOUSE WITH DSQ TO...', 'price': 'KSh 400,000\n\n/ month'}","{'title': '5 Bed House with En Suite at Off Panafric Insurance Avenue', 'location': '6, Off Panafric insurance avenue, Runda, Westlands', 'description': 'A Modern 5 Bedrooms double storey house to let...', 'price': 'KSh 400,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Two Rivers', 'location': 'two rivers, Gigiri, Westlands', 'description': 'PALATIAL 4BEDROOM DUPLEXES WITHIN DIPLOMATIC BL...', 'price': 'KSh 350,000\n\n/ month'}","{'title': '5 Bed House with Garden at Rhino Park', 'location': 'O, Rhino park, Karen', 'description': '5 BEDROOM FURNISHED HOUSE FOR RENT IN KAREN NAI...', 'price': 'KSh 300,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Off Daisy Drive', 'location': 'Whispers, Off Daisy Drive, Gigiri, Westlands', 'description': '4 Bedroom House for rent in Gigiri', 'price': 'KSh 300,000\n\n/ month'}","{'title': '5 Bed Villa with En Suite in Spring Valley', 'location': 'Spring Valley, Westlands', 'description': 'Exquisite Five-Bedroom Villa for Rent in Spring...', 'price': 'KSh 560,000\n\n/ month'}","{'title': '5 Bed House with En Suite in Kitisuru', 'location': 'Kitisuru, Westlands', 'description': '5 Bedroom House For Rent, Kitisuru', 'price': 'KSh 638,000\n\n/ month'}","{'title': '5 Bed House with En Suite in Spring Valley', 'location': 'Spring Valley, Westlands', 'description': 'WELCOME HOME! CONTEMPORARY 5 BEDROOM TOWNHOUSE...', 'price': 'KSh 220,000\n\n/ month'}","{'title': '4 Bed House with En Suite in Runda', 'location': 'Runda, Westlands', 'description': 'Stunning 4 bedroom house for rent in Runda', 'price': 'KSh 270,000\n\n/ month'}","{'title': '5 Bed Townhouse with En Suite in Westlands Area', 'location': 'Westlands Area, Westlands', 'description': 'Modern 5 bedrooms all ensuite townhouse', 'price': 'KSh 280,000\n\n/ month'}","{'title': '4 Bed Townhouse with En Suite at Mwanzi Road', 'location': 'Mwanzi road, Westlands Area, Westlands', 'description': 'Stand alone 4 bedroom spacious house', 'price': 'KSh 150,000\n\n/ month'}","{'title': '5 Bed House with En Suite at Mimosa', 'location': 'Mimosa, Runda, Westlands', 'description': '5 BEDROOM HOUSE FOR RENT IN RUNDA NAIROBI KENYA', 'price': 'KSh 400,000\n\n/ month'}","{'title': '5 Bed Townhouse with En Suite in Lower Kabete', 'location': 'Lower Kabete, Westlands', 'description': 'A cosy home in a gated community', 'price': 'KSh 580,000\n\n/ month'}",,
8,"{'title': '3 Bed Townhouse with En Suite at Church Road', 'location': 'Church road, Westlands Area, Westlands', 'description': '3 Bedroom Townhouse to Rent in Westlands', 'price': 'KSh 90,000\n\n/ month'}","{'title': '2 Bed House with En Suite in Nyari', 'location': 'Nyari, Westlands', 'description': 'Spacious Two Bedroom Cottage for Rent in Nyari', 'price': 'KSh 190,000\n\n/ month'}","{'title': '4 Bed House with En Suite in Runda', 'location': 'Runda, Westlands', 'description': 'Luxurious 4-Bedroom House with DSQ and Pool for...', 'price': 'KSh 400,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Lavighton', 'location': 'Lavighton, Lavington', 'description': '5 BEDROOM COMMERCIAL PROPERTY FOR RENT IN LAVIN...', 'price': 'KSh 400,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Runda', 'location': '01, Runda, Westlands', 'description': 'Executive 4 Bedroom House all Bedroom en-suite...', 'price': 'KSh 300,000\n\n/ month'}","{'title': '5 Bed House with Swimming Pool in Runda', 'location': 'Runda, Westlands', 'description': '5 Bedroom Standalone House For Sale In Runda.', 'price': 'KSh 310,000\n\n/ month'}","{'title': '2 Bed House at Karen Plain', 'location': 'Karen plain, Karen', 'description': '2 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA', 'price': 'KSh 35,000\n\n/ month'}","{'title': 'House at Muthangari', 'location': 'Lavington Green, Muthangari, Lavington', 'description': 'Stunning newly refurbished 4 bedrooms house 0n...', 'price': 'KSh 450,000\n\n/ month'}","{'title': '2 Bed House with En Suite at Kongoni Road', 'location': 'Kongoni road, Karen', 'description': '2 BEDROOM FULLY FURNISHED COTTAGE FOR RENT IN K...', 'price': 'KSh 150,000\n\n/ month'}","{'title': '5 Bed House with En Suite at Runda', 'location': 'runda, Runda, Westlands', 'description': 'Charming Runda 5 Bedroom Stand Alone House For...', 'price': 'KSh 350,000\n\n/ month'}","{'title': '5 Bed Townhouse with En Suite in Lavington', 'location': 'Chalbi drive, Lavington', 'description': 'Exquisite affordable townhouse!', 'price': 'KSh 250,000\n\n/ month'}","{'title': '5 Bed Villa with En Suite at Academy Road', 'location': 'Academy road, Karen', 'description': 'FIVE BEDROOMS VILLA FOR RENT IN KAREN', 'price': 'KSh 450,000\n\n/ month'}","{'title': '4 Bed House in Kiambu Road', 'location': 'Kiambu Road', 'description': 'Beautiful 4 Bedroom All En-suite Townhouse to R...', 'price': 'KSh 110,000\n\n/ month'}","{'title': '5 Bed Villa with En Suite at Livingston', 'location': 'Livingston, Lavington', 'description': '5 BEDROOM VILLAS FOR SALE IN LAVINGTON NAIROBI...', 'price': 'KSh 360,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Lavington', 'location': 'Lavington', 'description': '4 Bedroom Townhouse For Rent In Lavington Nair...', 'price': 'KSh 350,000\n\n/ month'}",,
9,"{'title': '4 Bed House with En Suite at Kiambu Road', 'location': 'Kiambu road, Kiambu Road', 'description': 'Executive 4 Bedroom House all en-suite + dsq fo...', 'price': 'KSh 300,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Karen Area', 'location': 'Karen area, Karen', 'description': '4 BEDROOM HOUSE FOR RENT IN KAREN', 'price': 'KSh 250,000\n\n/ month'}","{'title': '5 Bed House with En Suite at Owashika Villas', 'location': 'Owashika Villas, Lavington', 'description': 'STUNNING 5 BEDROOM HOUSE TO LET IN LAVINGTON', 'price': 'KSh 350,000\n\n/ month'}","{'title': '5 Bed House with En Suite in Karen', 'location': 'Karen', 'description': 'Spectacular 5 Bedroom to let Karen', 'price': 'KSh 450,000\n\n/ month'}","{'title': '3 Bed Villa with En Suite at Kuro Road', 'location': 'Kuro Road, Karen', 'description': '3- BEDROOM ALL ENSUITE VILLA TO LET IN KAREN', 'price': 'KSh 250,000\n\n/ month'}","{'title': '4 Bed Townhouse with En Suite in Runda', 'location': 'Runda, Westlands', 'description': '4 bedroom townhouse to rent in runda', 'price': 'KSh 490,000\n\n/ month'}","{'title': '5 Bed Townhouse with En Suite at Near Galleria', 'location': 'Near Galleria, Karen', 'description': '5 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI,KENYA', 'price': 'KSh 300,000\n\n/ month'}","{'title': '5 Bed House with En Suite at Westlands', 'location': 'Westlands, Westlands Area', 'description': 'Amazing 5 bedroom townhouse to let in westlands', 'price': 'KSh 250,000\n\n/ month'}","{'title': '4 Bed House with En Suite in Lavington', 'location': 'Lavington', 'description': 'HOMELY 4 BEDROOM TOWNHOUSE FOR RENT IN A GATED...', 'price': 'KSh 180,000\n\n/ month'}","{'title': '5 Bed House with En Suite in Karen', 'location': 'Karen', 'description': '5 bedrooms House in One acre Gated community In...', 'price': 'KSh 410,000\n\n/ month'}","{'title': '5 Bed House with En Suite in Runda', 'location': 'Runda, Westlands', 'description': 'AN AMAZING FIVE BEDROOM ALL ENSUITE MODERN HOUS...', 'price': 'KSh 600,000\n\n/ month'}","{'title': '3 Bed House with En Suite at Mukoma Road', 'location': 'O, mukoma road, Karen', 'description': '3 BEDROOM FULLY FURNISHED HOUSE FOR RENT IN KAR...', 'price': 'KSh 140,000\n\n/ month'}","{'title': '5 Bed Villa with En Suite at Ololua', 'location': 'Ololua, Karen', 'description': 'Gorgeous Stand alone 5Bedroom Home.', 'price': 'KSh 350,000\n\n/ month'}","{'title': '3 Bed Townhouse with En Suite in Runda', 'location': 'Runda, Westlands', 'description': '3 Bedroom townhouse in Runda', 'price': 'KSh 230,000\n\n/ month'}","{'title': '4 Bed House with En Suite at Runda', 'location': 'Runda, Westlands', 'description': 'Executive 4 Bedroom House all Bedroom en-suite...', 'price': 'KSh 300,000\n\n/ month'}",,
